acgme_program_id,classification,fields,rise_program_name,acgme_program_name,rise_location,acgme_location
3202811125,STALE_IDENTITY_REVIEW_REQUIRED,city,Washington University/B-JH/SLCH Consortium Program,Washington University/B-JH/SLCH Consortium Program,"Saint Louis, MO","St Louis, MO"
3203021383,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,University of Nebraska Medical Center College of Medicine Program,University of U Nebraska Medical Center College 9 of Medicine Program O P c,"Omaha, NE","maha, NE"
3203100001,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,University of Nevada Reno School of Medicine Program,University of 74 Nevada Reno School of Medicine Su Program Re Ph Cb,"Reno, NV","no, NV"
3203222130,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,Dartmouth- Hitchcock/Mary Hitchcock Memorial Hospital Program,"Lebanon, NH","Lebanon, NH"
3203300420,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Hackensack Meridian Health Program,Hackensack Meridian Health/Hackensack University Medical Center Program,"Hackensack, NJ","Hackensack, NJ"
3203311133,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Rutgers Health/Monmouth Medical Center Program,Rutgers Mo Health/Monmouth Medical Center 30 Program Lo Ph kr,"Long Branch, NJ","ng Branch, NJ"
3203311134,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Hackensack Meridian Health Program,Hackensack Meridian Health/Jersey Shore University Medical Center Program,"Neptune, NJ","Neptune, NJ"
3203321412,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Atlantic Health System/Goryeb Children's Hospital Program,Atlantic Health Program,"Morristown, NJ","Morristown, NJ"
3203500001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Kings County Hospital Center Program,NYC Health and Hospitals Kings County Hospital Program,"Brooklyn, NY","Brooklyn, NY"
3203500426,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Good Samaritan University Hospital Program,Catholic Health Program,"West Islip, NY","West Islip, NY"
3203511158,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,New York-Presbyterian Brooklyn Methodist Hospital Program,New York- N Presbyterian Brooklyn Methodist H Hospital Program 5 B P a,"Brooklyn, NY","rooklyn, NY"
3203521174,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Rochester Medical Center Program,University of Rochester Medicine Program,"Rochester, NY","Rochester, NY"
3203611183,STALE_IDENTITY_REVIEW_REQUIRED,city,Wake Forest University Baptist Medical Center Program,Wake Forest University Baptist Medical Center Program,"Winston Salem, NC","Winston-Salem, NC"
3203612182,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,ECU Health Medical Center/East Carolina University Program,ECU Health Medical B Center/East Carolina University 6 Program D G P l,"Greenville, NC","reenville, NC"
3203700001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of North Dakota School of Medicine and Health Sciences Program,Univ of North Dakota School of Medicine and Health Sciences Program,"Fargo, ND","Fargo, ND"
3203821367,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Case Western Reserve University/University Hospitals Cleveland Medical Center/Rainbow Babies and Childrens Hospital Program,Case Western Reserve Univ/Univ Hosps Cleveland Med Ctr/Rainbow Babies and Childrens Hospital Program,"Cleveland, OH","Cleveland, OH"
3204100001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,St Luke's Hospital-Anderson Campus Program,St Luke’s Hospital – Anderson Campus Program,"Easton, PA","Easton, PA"
3204112209,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Tower Health/St Christopher's Hospital for Children Program,Tower Health/St. Christopher's Hospital for Children Program,"Philadelphia, PA","Philadelphia, PA"
3204121210,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Sidney Kimmel Medical College at Thomas Jefferson University/Nemours Children's Health Wilmington Program,"Sidney Kimmel Medical College at Thomas Jefferson University/Nemours Children's Health, Wilmington Program","Wilmington, DE","Wilmington, DE"
3204121372,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Penn State Milton S Hershey Medical Center Program,Penn State Milton S Hershey Medical Center Program Ho,"Hershey, PA","Hershey, PA"
3204211216,STALE_IDENTITY_REVIEW_REQUIRED,city,San Juan City Hospital Program,San Juan City Hospital Program,"San Juan, PR","SAN JUAN, PR"
3204731225,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Tennessee Program,University of Tennessee College of Medicine Program,"Memphis, TN","Memphis, TN"
3204800422,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Baylor College of Medicine (San Antonio) Program,Baylor College of Ch Medicine (San Antonio) Program 33 Sa Ph CH,"San Antonio, TX","n Antonio, TX"
3204821406,STALE_IDENTITY_REVIEW_REQUIRED,city,San Antonio Uniformed Services Health Education Consortium Program,San Antonio Uniformed Services Health Education Consortium Program,"JBSA Ft Sam Houston, TX","JBSA-Fort Sam Houston, TX"
