acgme_program_id,canonical_rise_program_id,program_specialty_id,program_name,specialty,city,state,accreditation_status,effective_date,academic_year,newly_accredited
3800400001,rise_prg_c69e9d09-0e43-55ac-b350-09966bdf8805,rise_ps_f4bc337a-5a1c-57ff-9fe8-256b4c7fb9d2,University of Arkansas for Medical Ba Sciences (UAMS) College of Medicine Program,Public Health and General Preventive Medicine,Little Rock,AR,Initial Accreditation,03/26/2026,2025-2026,true
3834800002,rise_prg_aae52918-74fc-51cf-8889-34fec3a7ed35,rise_ps_55cd546f-6528-5156-83c3-0d2c9dac0a3c,Texas A&M University Naresh K. Vashisht College of Medicine Program,Aerospace Medicine,College Station,TX,Initial Accreditation,03/26/2026,2025-2026,true
4000100008,rise_prg_fc98aeda-c602-5acb-a455-3b2ab034bc34,rise_ps_9a7d67c0-b03c-5091-a23a-46f07ee51420,"Wellstone, Inc. Program",Psychiatry,huntsville,AL,Initial Accreditation,02/12/2026,2025-2026,true
4000500011,rise_prg_7cec0e07-b950-5e31-9610-f175d635e8a9,rise_ps_23be5424-4d44-50dc-8f19-eb277f831ec3,Sutter Health (Sacramento) Program,Psychiatry,Roseville,CA,Initial Accreditation,06/16/2026,2025-2026,true
4001100013,rise_prg_3fd38fcb-0809-52ed-9457-f73d28384efe,rise_ps_e772559e-122d-5fac-aa27-e5c37600ceb8,University of South Florida Morsani College of Medicine/TGH Behavioral Health Hospital Program,Psychiatry,Tampa,FL,Initial Accreditation,02/12/2026,2025-2026,true
4001700003,rise_prg_b7467c10-730d-539d-97ba-c408d7f5da74,rise_ps_209dfb3e-8178-53b9-825e-c84abc699d30,Indiana University School of Medicine (Evansville) Program,Psychiatry,Evansville,IN,Initial Accreditation,04/24/2026,2025-2026,true
4003500013,rise_prg_ac7d195a-854a-5961-8ad2-75cffe73cdff,rise_ps_5d1d3b74-ab8b-5735-9b2f-08f90d71fce9,St Joseph's Health Program,Psychiatry,Syracuse,NY,Initial Accreditation,06/16/2026,2025-2026,true
4003600004,rise_prg_143c0416-c359-57a9-b6c9-efeeeca17697,rise_ps_6b8d8f47-ac8d-519e-ad32-d2ed1c138c6f,Wake Forest University Baptist Medical Center/High Point Medical Center Program,Psychiatry,High Point,NC,Initial Accreditation,06/16/2026,2025-2026,true
4005100001,rise_prg_cc767d5b-658a-55bc-b92c-6ade8409cff3,rise_ps_1915a048-8267-5e96-9b12-d97b6166a97a,Mary Washington Healthcare Program,Psychiatry,Fredericksburg,VA,Initial Accreditation,04/24/2026,2025-2026,true
4005600001,rise_prg_f1d550a4-b052-5ac3-abc0-66b4052fba51,rise_ps_abbca96a-5683-51a0-b957-4065781daf14,"Medical College of Wisconsin Affiliated Hospitals, Inc Program",Psychiatry,Neenah,WI,Initial Accreditation,06/16/2026,2025-2026,true
4005600002,rise_prg_e84c6e5d-ad1d-5999-9fe5-60c7d52929a1,rise_ps_4990fa31-e90a-5cfc-b24d-5f607c9e0204,Gundersen Lutheran Medical Foundation Program,Psychiatry,La Crosse,WI,Initial Accreditation,06/16/2026,2025-2026,true
4152442001,rise_prg_948ac01f-6694-5aa1-8a6f-b3599e4c0e4c,rise_ps_c15b0e94-3d0d-51cc-907c-3a67bfe3c0dc,Mass General Brigham Program,Interventional Radiology-Independent,Boston,MA,Initial Accreditation,01/29/2026,2025-2026,true
4160500005,rise_prg_949e286a-dc4d-54ef-8ffe-921b41f3a3a2,rise_ps_78f8b531-d697-5661-9fe5-d9802bf797a8,Los Angeles County-Harbor-UCLA Bhavra Medical Center Program,Interventional Radiology-Integrated,Torrance,CA,Initial Accreditation,01/29/2026,2025-2026,true
4161100005,rise_prg_ba603bd9-564a-58b9-8624-01819be541d5,rise_ps_afdeecb5-ff39-5a7e-af4e-e5a371b0382f,Florida International University/Baptist Health Program,Interventional Radiology-Integrated,Miami,FL,Initial Accreditation,04/09/2026,2025-2026,true
4161600001,rise_prg_02f40c64-5af3-5009-8536-cb53d752e8d4,rise_ps_3bc77906-8132-5cc9-9736-b60470e754ec,Loyola University Medical Center Program,Interventional Radiology-Integrated,Maywood,IL,Initial Accreditation,01/29/2026,2025-2026,true
4162400005,rise_prg_5c83b15a-5f4c-5d14-8ce5-df8b65971ce6,rise_ps_38b8285d-f204-5279-b512-6ad469dddae6,Mass General Brigham Program,Interventional Radiology-Integrated,Boston,MA,Initial Accreditation,01/29/2026,2025-2026,true
4163300004,rise_prg_0d0c246b-bdb1-58c5-b154-9300125e16c9,rise_ps_21a524ea-bfa8-571a-b069-3adab26e9c6c,Cooper Medical School of Rowan University/Cooper University Hospital Program,Interventional Radiology-Integrated,Camden,NJ,Initial Accreditation,01/29/2026,2025-2026,true
4164800002,rise_prg_5b03a8f5-abfb-59ce-a692-146d3726e746,rise_ps_f2ddf0d9-413a-5ee5-b2e5-fc5eb8199901,Baylor Scott & White Medical Center - Baylor College of Medicine (Temple) Program,Interventional Radiology-Integrated,Temple,TX,Initial Accreditation,09/16/2026,2026-2027,true
4164800007,rise_prg_5b51eb83-5385-5dc4-88f1-7aadd6cc66d7,rise_ps_c6560e99-d548-5b06-abf9-6b6c21eb8e05,Baylor University Medical Center Program,Interventional Radiology-Integrated,Dallas,TX,Initial Accreditation,09/16/2026,2026-2027,true
4165100003,rise_prg_3fdbbae7-6d4f-53cc-9cfc-4aa69380144e,rise_ps_c43a4bb6-ff10-56b0-960c-cc7dbfb71bdc,Old Dominion University Program,Interventional Radiology-Integrated,Norfolk,VA,Initial Accreditation,09/16/2026,2026-2027,true
4200300001,rise_prg_fb8076f6-0786-5b63-af19-7117fb90bb95,rise_ps_4d5b8e08-fcd2-574a-a1d7-d8f8200f4344,University of Arizona College of Medicine - Phoenix Program,Radiology-Diagnostic,Phoenix,AZ,Initial Accreditation,09/16/2026,2026-2027,true
4200500003,rise_prg_cee06593-4474-5401-b0ed-65d8404804f6,rise_ps_67d8b0ee-4b53-5f61-9128-f404fae7530a,Sutter Health/Sutter Roseville Medical Center Program,Radiology-Diagnostic,Roseville,CA,Initial Accreditation,04/09/2026,2025-2026,true
4200500004,rise_prg_6ddec331-010c-595b-a383-b1877f27d719,rise_ps_14f190db-0218-5aa5-bb4b-5e92b1cb03ae,Eisenhower Medical Center Program,Radiology-Diagnostic,ancho Mirage,CA,Initial Accreditation,09/16/2026,2026-2027,true
4201100002,rise_prg_0a123bfd-09ed-5286-aeaa-e8cf71beb878,rise_ps_b75a1178-32e4-51f9-9cf3-9073c74a801b,AdventHealth Florida Program,Radiology-Diagnostic,Tampa,FL,Initial Accreditation,09/16/2026,2026-2027,true
4202400001,rise_prg_54756bfa-4b42-5a3e-96a7-3cb3e464b476,rise_ps_130f9d4a-f649-5f7c-94c3-010f18448a43,Mass General Brigham Program,Radiology-Diagnostic,Boston,MA,Initial Accreditation,01/29/2026,2025-2026,true
4403500008,rise_prg_9e0bab37-dc0f-54cc-8dd3-fde5392b17c5,rise_ps_316404e6-a331-5988-b840-db6058dc6d76,Zucker School of Medicine at Hofstra/Northwell at Northern Westchester Hospital Program,Surgery-General,Mount Kisco,NY,Initial Accreditation,08/27/2026,2026-2027,true
4403600001,rise_prg_9446507a-db7c-58cf-8fd2-b094740bcbba,rise_ps_fecfc30c-f52f-5e14-ae9b-da60d3feaaf9,Novant Health Program,Surgery-General,Charlotte,NC,Initial Accreditation,08/27/2026,2026-2027,true
4404100003,rise_prg_ba39b5e8-a9d6-5cbb-bb57-1d0070b15fd1,rise_ps_ca829d0f-357f-5e1c-b699-3e1e75317fd5,St. Clair Health Graduate Medical Education Program,Surgery-General,Pittsburgh,PA,Initial Accreditation,08/27/2026,2026-2027,true
